Node	Beg	End
NODE_77	53498	53744
NODE_77	59204	59292
NODE_77	70788	71254
NODE_77	72096	72315
NODE_77	87494	87680
NODE_77	97649	98048
NODE_77	106887	107298
NODE_77	120714	121090
NODE_77	130427	130836
NODE_77	137055	138042
NODE_77	149905	150316
NODE_77	156136	156269
NODE_77	168077	168578
NODE_78	9926	10124
NODE_78	31658	32260
NODE_78	47489	47681
NODE_78	73799	73887
NODE_78	75508	76102
NODE_78	82106	82279
NODE_78	141130	141388
NODE_78	145800	146425
NODE_78	152788	153358
NODE_78	164499	165042
NODE_78	172368	173188
NODE_79	13838	14595
NODE_79	27980	28133
NODE_79	34760	34921
NODE_79	45938	45977
NODE_79	47508	47779
NODE_79	82165	82196
NODE_79	82651	82755
NODE_79	93953	94185
NODE_79	156343	156374
NODE_79	166064	166227
NODE_79	169492	169666
NODE_80	2293	3136
NODE_80	16355	16561
NODE_80	57392	57904
NODE_80	71001	71264
NODE_80	139592	140021
NODE_80	156059	156403
NODE_81	5242	5675
NODE_81	22914	23730
NODE_81	25224	25343
NODE_81	39699	40367
NODE_81	43030	43950
NODE_81	84147	84403
NODE_81	116942	117127
NODE_81	129709	129925
NODE_81	154668	154934
NODE_81	163786	163927
NODE_82	1537	2830
NODE_82	3729	4442
NODE_82	8652	9356
NODE_82	15577	16892
NODE_82	26136	26416
NODE_82	34825	35216
NODE_82	36954	37183
NODE_82	47867	49961
NODE_82	56417	57299
NODE_82	58860	59450
NODE_82	62513	65630
NODE_82	69629	71236
NODE_82	72740	74270
NODE_82	80723	83233
NODE_82	86661	87622
NODE_82	88805	89389
NODE_82	90353	90507
NODE_82	93079	95431
NODE_82	95880	97467
NODE_82	100355	104057
NODE_82	109352	109564
NODE_82	113517	114765
NODE_82	117451	120696
NODE_82	122619	124070
NODE_82	128466	129406
NODE_82	135771	139203
NODE_82	142189	142531
NODE_82	145257	147111
NODE_82	155249	159523
NODE_82	160686	163146
NODE_82	168057	168717
NODE_82	170054	172083
NODE_82	173834	176528
NODE_83	16216	16332
NODE_83	170614	170914
NODE_83	175974	176225
NODE_84	6833	9871
NODE_84	12561	13049
NODE_84	14575	16159
NODE_84	18371	19177
NODE_84	21735	22379
NODE_84	24783	25063
NODE_84	27527	30892
NODE_84	31716	32571
NODE_84	35398	36236
NODE_84	39433	39962
NODE_84	41129	42425
NODE_84	43985	45348
NODE_84	47193	47885
NODE_84	48347	50621
NODE_84	57114	58022
NODE_84	60967	61075
NODE_84	63723	66235
NODE_84	66719	67892
NODE_84	69316	69844
NODE_84	72013	72548
NODE_84	73783	75288
NODE_84	76054	76134
NODE_84	77652	79176
NODE_84	82097	82909
NODE_84	88607	90711
NODE_84	92070	93406
NODE_84	96924	97396
NODE_84	99704	100369
NODE_84	107589	108357
NODE_84	109647	110000
NODE_84	110850	112173
NODE_84	112691	113457
NODE_84	114268	116233
NODE_84	118958	121116
NODE_84	121590	122584
NODE_84	123762	127580
NODE_84	129222	129526
NODE_84	130850	133588
NODE_84	136297	138494
NODE_84	140590	142273
NODE_84	143917	145484
NODE_84	148527	150367
NODE_84	156491	156928
NODE_84	159848	160698
NODE_84	161635	162517
NODE_84	163517	164793
NODE_84	167227	167728
NODE_84	169200	169519
NODE_84	175112	176201
NODE_85	3296	3430
NODE_85	4983	5233
NODE_85	15492	16618
NODE_85	23244	23546
NODE_85	48389	49003
NODE_85	91211	91641
NODE_85	94906	95115
NODE_85	103910	104029
NODE_85	117883	118389
NODE_85	176449	176528
NODE_86	110435	110908
NODE_86	128277	128678
NODE_86	174569	174709
NODE_87	981	7069
NODE_87	11870	22905
NODE_87	24222	24850
NODE_87	27720	28605
NODE_87	33620	34623
NODE_87	48352	52216
NODE_87	54215	55646
NODE_87	59462	66434
NODE_87	68244	72400
NODE_87	73710	77564
NODE_87	81268	88327
NODE_87	90069	96313
NODE_87	101624	109294
NODE_87	110489	119110
NODE_87	121097	123908
NODE_87	133594	143297
NODE_87	145791	148503
NODE_87	150378	161102
NODE_87	165017	174970
NODE_88	1408	5166
NODE_88	7647	9417
NODE_88	18598	29168
NODE_88	31575	34992
NODE_88	38447	39075
NODE_88	40437	42468
NODE_88	46730	54957
NODE_88	57314	61458
NODE_88	62329	65396
NODE_88	70274	74070
NODE_88	74728	78016
NODE_88	82445	87056
NODE_88	91969	93529
NODE_88	95287	107691
NODE_88	109951	111917
NODE_88	117442	118128
NODE_88	132979	133824
NODE_88	134661	138637
NODE_88	140553	143052
NODE_88	152655	156024
NODE_88	159131	171485
NODE_89	1903	4827
NODE_89	13382	14552
NODE_89	21162	23816
NODE_89	26094	26356
NODE_89	28282	28698
NODE_89	30590	30852
NODE_89	45625	45715
NODE_89	46986	48108
NODE_89	51949	52704
NODE_89	53517	54457
NODE_89	59320	61965
NODE_89	76321	77224
NODE_89	84873	86246
NODE_89	86952	87660
NODE_89	90699	91598
NODE_89	93535	93853
NODE_89	98265	99018
NODE_89	100088	100888
NODE_89	101926	103207
NODE_89	105147	105494
NODE_89	105932	108182
NODE_89	116347	117415
NODE_89	137664	138371
NODE_89	151856	153785
NODE_89	157343	158657
NODE_89	160508	161628
NODE_89	166979	169649
NODE_89	171855	173102
NODE_90	3617	5674
NODE_90	17178	18478
NODE_90	19163	23647
NODE_90	26501	27520
NODE_90	39913	40758
NODE_90	42378	44109
NODE_90	47896	49602
NODE_90	50479	51544
NODE_90	51891	56903
NODE_90	70053	70986
NODE_90	72705	77398
NODE_90	79949	81921
NODE_90	82981	85751
NODE_90	86833	88397
NODE_90	90701	91947
NODE_90	93412	95144
NODE_90	96637	98190
NODE_90	101940	104606
NODE_90	105006	107139
NODE_90	109101	110848
NODE_90	123214	125422
NODE_90	125966	130985
NODE_90	132487	136948
NODE_90	138429	141230
NODE_90	142201	147935
NODE_90	150328	151048
NODE_90	152297	153202
NODE_90	154131	157592
NODE_90	158348	159115
NODE_90	161407	163508
NODE_90	170564	173655
NODE_90	174443	175032
NODE_91	999	1855
NODE_91	2715	5403
NODE_91	5748	7997
NODE_91	12013	17879
NODE_91	18187	18967
NODE_91	20602	21301
NODE_91	23340	24217
NODE_91	26831	28380
NODE_91	29537	29863
NODE_91	31084	32514
NODE_91	33921	34447
NODE_91	35544	38579
NODE_91	40166	40546
NODE_91	40757	42578
NODE_91	44235	45082
NODE_91	45555	46474
NODE_91	48311	50382
NODE_91	51193	51996
NODE_91	52221	53387
NODE_91	54455	54775
NODE_91	55701	56430
NODE_91	56750	57406
NODE_91	58240	61246
NODE_91	62732	63976
NODE_91	68340	69057
NODE_91	69291	70554
NODE_91	72863	73229
NODE_91	75268	76006
NODE_91	76172	76824
NODE_91	77612	78440
NODE_91	79187	79817
NODE_91	81024	82761
NODE_91	83202	85705
NODE_91	86577	89838
NODE_91	90177	92630
NODE_91	93386	94436
NODE_91	96131	97133
NODE_91	97555	98823
NODE_91	100215	104911
NODE_91	105076	105320
NODE_91	106733	107139
NODE_91	108779	109691
NODE_91	110225	111834
NODE_91	112377	115965
NODE_91	118148	119833
NODE_91	121043	123761
NODE_91	124073	124439
NODE_91	124559	130299
NODE_91	130576	131218
NODE_91	133933	135024
NODE_91	135913	136352
NODE_91	136560	137634
NODE_91	137716	140253
NODE_91	140644	141139
NODE_91	142184	144688
NODE_91	144953	148141
NODE_91	148565	149659
NODE_91	150129	151014
NODE_91	151935	153155
NODE_91	153904	155382
NODE_91	155842	156320
NODE_91	156799	157282
NODE_91	157881	159495
NODE_91	163012	163600
NODE_91	164247	164560
NODE_91	165043	166522
NODE_91	166926	168867
NODE_91	169806	171060
NODE_91	171310	176528
NODE_92	2160	4969
NODE_92	11942	13951
NODE_92	20153	20583
NODE_92	23056	23697
NODE_92	46727	49683
NODE_92	76712	77815
NODE_92	81441	82002
NODE_92	86493	87967
NODE_92	89956	92181
NODE_92	102633	103127
NODE_92	107692	108180
NODE_92	150644	151347
NODE_92	152192	155726
NODE_98	1315	2568
NODE_98	6310	7376
NODE_98	8663	11540
NODE_98	12652	14045
NODE_98	15600	16243
NODE_98	25349	27136
NODE_98	33590	34238
NODE_98	38902	39807
NODE_98	48270	49785
NODE_98	50453	51706
NODE_98	52578	52848
NODE_98	54851	55238
NODE_98	56431	57672
NODE_98	59169	60925
NODE_98	62406	63437
NODE_98	64096	64768
NODE_98	66700	67837
NODE_98	68862	69693
NODE_98	71815	72251
NODE_98	74017	75347
NODE_98	81609	81755
NODE_98	82762	83538
NODE_98	86624	86846
NODE_98	91322	93373
NODE_98	99016	100896
NODE_98	103211	103881
NODE_98	105417	105919
NODE_98	107163	110054
NODE_98	112768	114385
NODE_98	115934	116351
NODE_98	117585	118011
NODE_98	130575	131855
NODE_98	133582	133879
NODE_98	137111	137881
NODE_98	139286	139941
NODE_98	141499	142507
NODE_98	148074	148472
NODE_98	150909	151726
NODE_98	157508	158806
NODE_98	159616	162946
NODE_98	163822	166925
NODE_98	168236	168543
NODE_98	169506	171123
NODE_98	174211	174474
NODE_99	40519	40710
NODE_99	76190	76307
NODE_99	83259	83538
NODE_99	159873	160562
NODE_100	11936	12359
NODE_100	23141	23552
NODE_100	29471	30004
NODE_100	43595	43701
NODE_100	55023	55402
NODE_100	81689	83362
NODE_100	90625	91459
NODE_100	166265	167307
NODE_101	3121	3471
NODE_101	4802	4921
NODE_101	12241	12601
NODE_101	14055	16016
NODE_101	16544	18009
NODE_101	21278	21558
NODE_101	26265	26762
NODE_101	30307	30519
NODE_101	31222	31780
NODE_101	33109	33464
NODE_101	36470	36723
NODE_101	38103	40233
NODE_101	43069	43244
NODE_101	46403	47734
NODE_101	48775	49706
NODE_101	52576	52746
NODE_101	57226	58182
NODE_101	59089	59307
NODE_101	61088	62109
NODE_101	64291	64761
NODE_101	65420	65647
NODE_101	69680	71088
NODE_101	72646	72760
NODE_101	76748	77756
NODE_101	78454	78635
NODE_101	79376	79574
NODE_101	80918	81903
NODE_101	84726	85100
NODE_101	87171	87281
NODE_101	94357	96238
NODE_101	97816	98704
NODE_101	99835	100149
NODE_101	101908	102523
NODE_101	105061	105372
NODE_101	106610	107080
NODE_101	107692	108730
NODE_101	109455	109599
NODE_101	113267	113541
NODE_101	117473	118109
NODE_101	118803	119396
NODE_101	121521	121646
NODE_101	124057	124215
NODE_101	128794	129774
NODE_101	131906	132074
NODE_101	134011	134057
NODE_101	138549	138878
NODE_101	141336	141646
NODE_101	142101	142304
NODE_101	143534	143865
NODE_101	146657	147056
NODE_101	153392	153447
NODE_101	155522	156695
NODE_101	159320	159364
NODE_101	160187	160517
NODE_101	161244	163256
NODE_101	163826	164218
NODE_101	166534	167035
NODE_101	170980	171337
NODE_102	44456	44594
NODE_102	57566	57806
NODE_102	65321	66269
NODE_102	72001	72188
NODE_102	73746	74056
NODE_102	156321	156788
NODE_102	161775	162216
NODE_103	13204	13303
NODE_103	28808	28984
NODE_103	36883	37171
NODE_103	40759	40818
NODE_103	51062	51717
NODE_103	54691	55191
NODE_103	57584	57850
NODE_103	60749	60882
NODE_103	62985	63045
NODE_103	76499	76635
NODE_103	77808	78216
NODE_103	81583	81705
NODE_103	88316	88361
NODE_103	89132	89245
NODE_103	103958	104193
NODE_103	112633	112814
NODE_103	129301	129610
NODE_103	135202	135273
NODE_103	154741	154891
NODE_103	156382	156694
NODE_103	164757	166244
NODE_103	171038	171378
NODE_104	18444	18533
NODE_104	26525	26665
NODE_104	42412	42482
NODE_104	49452	49563
NODE_104	50568	51045
NODE_104	57488	57685
NODE_104	70223	70700
NODE_104	93432	93547
NODE_104	95871	96229
NODE_104	135940	135979
NODE_104	138415	138596
NODE_104	150150	150212
NODE_104	154467	154569
NODE_104	161984	162149
NODE_104	170944	171066
NODE_105	172	447
NODE_105	1140	1810
NODE_105	5506	6098
NODE_105	8308	8804
NODE_105	13333	13487
NODE_105	16109	16773
NODE_105	18292	18653
NODE_105	20686	21221
NODE_105	23007	23133
NODE_105	26049	26938
NODE_105	31887	32838
NODE_105	37770	38405
NODE_105	40993	41811
NODE_105	48683	49338
NODE_105	49822	49993
NODE_105	50485	50992
NODE_105	55856	56073
NODE_105	58883	59887
NODE_105	62949	63755
NODE_105	65295	66704
NODE_105	69514	70052
NODE_105	72890	73009
NODE_105	74245	74771
NODE_105	77101	77995
NODE_105	81264	81637
NODE_105	83323	83538
NODE_105	85742	86846
NODE_105	89535	89924
NODE_105	90491	90631
NODE_105	96586	96710
NODE_105	100312	101355
NODE_105	108763	109055
NODE_105	110264	110363
NODE_105	111195	111539
NODE_105	112841	113279
NODE_105	117868	118743
NODE_105	121756	122680
NODE_105	124606	125157
NODE_105	125874	126627
NODE_105	129296	131884
NODE_105	132231	132853
NODE_105	135926	136198
NODE_105	136733	136926
NODE_105	137303	137565
NODE_105	139076	140565
NODE_105	141587	141806
NODE_105	145023	145226
NODE_105	146101	146447
NODE_105	147204	148109
NODE_105	150585	150667
NODE_105	151158	152507
NODE_105	158070	158332
NODE_105	160480	160978
NODE_105	169644	169682
NODE_105	170059	171002
NODE_105	172886	172979
NODE_106	1	1772
NODE_106	4953	5432
NODE_106	8230	9092
NODE_106	11343	13548
NODE_106	17861	19578
NODE_106	19786	21440
NODE_106	22805	24221
NODE_106	27112	27930
NODE_106	29552	30860
NODE_106	36779	37894
NODE_106	40221	42046
NODE_106	43036	43969
NODE_106	48823	50385
NODE_106	51459	53751
NODE_106	54305	56135
NODE_106	59303	62393
NODE_106	64748	65268
NODE_106	66444	74117
NODE_106	80203	84717
NODE_106	85419	89244
NODE_106	90486	92039
NODE_106	93241	94374
NODE_106	100040	101090
NODE_106	101936	103468
NODE_106	103801	106170
NODE_106	108731	110880
NODE_106	112528	113260
NODE_106	113733	114227
NODE_106	114517	115499
NODE_106	116326	116850
NODE_106	119656	122315
NODE_106	124054	128696
NODE_106	129080	132238
NODE_106	134058	136663
NODE_106	138440	141894
NODE_106	144859	146333
NODE_106	146713	151048
NODE_106	152763	153363
NODE_106	154699	155711
NODE_106	156793	161730
NODE_106	164187	166372
NODE_106	170118	170790
NODE_106	171349	175626
NODE_107	44504	44589
